Spectrum Name:						
Description:						
Student ID:						
Detector Used:						
Comments:						
Acquisition Mode:	PHA Direct In					
High Voltage:	0					
Conversion Gain:	1024					
Coarse Gain:	4					
Fine Gain:	1.45					
Upper Discriminator:	1					
Lower Discriminator:	0					
Calibration Coefficients:	0.098675676	0.001432432				
Calibration Channels:	750	861				
Calibration Energies:	1.173	1.332				
Elapsed Real Time:	386.24					
Elapsed Live Time:	300					
Start Time:	"noviembre 14, 2024, 05:01:11"					
End Time:	"noviembre 14, 2024, 05:07:37"					
ROIs:						
ROI:	Low	High	Gross	Net	FWHM	Centroid
						
1	431	663	31021	-20939	3	0
2	196	244	2228493	319941	27	0
3	34	58	1260246	188138	16	0
						
Channel Data:						
Channel	Energy	Counts				
743	1.162972973	3				
744	1.164405405	1				
745	1.165837838	1				
746	1.16727027	2				
747	1.168702703	1				
748	1.170135135	2				
749	1.171567568	3				
750	1.173	1				
751	1.174432432	1				
752	1.175864865	1				
753	1.177297297	1				
754	1.17872973	2				
755	1.180162162	1				
756	1.181594595	2				
757	1.183027027	4				
758	1.184459459	1				
759	1.185891892	1				
760	1.187324324	2				
761	1.188756757	0				
762	1.190189189	4				
763	1.191621622	3				
764	1.193054054	3				
765	1.194486486	1				
766	1.195918919	0				
767	1.197351351	3				
768	1.198783784	2				
769	1.200216216	1				
770	1.201648649	2				
771	1.203081081	1				
772	1.204513514	0				
773	1.205945946	2				
774	1.207378378	4				
775	1.208810811	0				
776	1.210243243	0				
777	1.211675676	2				
778	1.213108108	3				
779	1.214540541	0				
780	1.215972973	1				
781	1.217405405	1				
782	1.218837838	2				
783	1.22027027	1				
784	1.221702703	1				
785	1.223135135	3				
786	1.224567568	1				
787	1.226	0				
788	1.227432432	1				
789	1.228864865	0				
790	1.230297297	0				
791	1.23172973	1				
792	1.233162162	0				
793	1.234594595	2				
794	1.236027027	3				
795	1.237459459	0				
796	1.238891892	0				
797	1.240324324	1				
798	1.241756757	1				
799	1.243189189	2				
800	1.244621622	0				
801	1.246054054	1				
802	1.247486486	1				
803	1.248918919	1				
804	1.250351351	0				
805	1.251783784	2				
806	1.253216216	1				
807	1.254648649	3				
808	1.256081081	1				
809	1.257513514	1				
810	1.258945946	3				
811	1.260378378	1				
812	1.261810811	0				
813	1.263243243	2				
814	1.264675676	1				
815	1.266108108	0				
816	1.267540541	0				
817	1.268972973	1				
